 name , ra , dec , distance_Mpc
 Milky Way ,266.4167,-29.0078,0.01
 Sag dSph ,283.7629,-30.4783,0.02
 Segue 1 ,151.7633,16.0736,0.02
 Segue 3 ,320.3792,19.1172,0.02
 Segue 2 ,34.8167,20.1753,0.03
 UMa II ,132.875,63.13,0.03
 BootesII ,209.5,12.8333,0.04
 ComaI ,186.7458,23.9042,0.04
 Willman1 ,162.3375,51.05,0.04
 LMC ,80.8942,-69.7561,0.05
 BootesIII ,209.2808,26.775,0.05
 SMC ,13.1583,-72.8003,0.06
 UMin ,227.2971,67.2144,0.06
 BootesI ,210,14.5,0.07
 Draco ,260.0058,57.9094,0.08
 Sculptor ,15.0392,-33.7092,0.09
 SexDSph ,153.2625,-1.6144,0.09
 Carina ,100.4029,-50.9661,0.1
 UMa I ,158.72,51.92,0.1
 Fornax ,39.9779,-34.5258,0.14
 Hercules ,247.7583,12.7917,0.15
 LeoIV ,173.2375,-0.5333,0.16
 CVnII ,194.2917,34.3208,0.16
 LeoV ,172.79,2.22,0.18
 PiscesII ,344.6292,5.9525,0.18
 LeoII ,168.3717,22.1547,0.21
 CVnI ,202.0146,33.5558,0.22
 LeoI ,152.1121,12.3081,0.25
 LeoT ,143.7225,17.0514,0.42
 Phoenix ,27.7763,-44.4447,0.44
 MESSIER032 ,10.6754,40.8664,0.49
 NGC6822 ,296.2404,-14.8031,0.5
 And XVI ,14.8742,32.3767,0.52
 And XXIV ,19.625,46.3661,0.6
 NGC0185 ,9.7417,48.3361,0.61
 Bol520 ,12.6767,32.9164,0.63
 And X ,16.6404,44.8044,0.63
 LGS 3 ,15.9792,21.885,0.65
 And XXVIII ,338.1717,31.2161,0.65
 And II ,19.1242,33.4192,0.65
 IC0010 ,5.1021,59.2917,0.66
 And XXX ,9.1454,49.6467,0.68
 IC1613 ,16.1992,2.1333,0.73
 And XIV ,12.8958,29.6969,0.73
 And XXIX ,359.7317,30.7556,0.73
 And XI ,11.5833,33.8014,0.73
 And I ,11.4167,38.0372,0.73
 And XXIII ,22.3408,38.7189,0.73
 And XVII ,9.2792,44.3222,0.74
 And III ,8.8908,36.4978,0.75
 Pegasus ,352.1421,14.7467,0.76
 And XV ,18.5779,38.1175,0.76
 And XXVI ,5.94,47.9161,0.76
 NGC0147 ,8.2983,48.5078,0.76
